Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Eirenis_aurolineatus,Contia_collaris_val._aurolineata,,,,,
Rhynchocalamus_arabicus,,,,,,
Rhynchocalamus_barani,Muhtarophis_barani,,,,,Muhtarophis_barani is current
Scaphiophis_raffreyi,,,,,,
Oligodon_unicolor,,,,,,
Oligodon_wagneri,,,,,,
Oligodon_lungshenensis,,,,,,
Oligodon_pulcherrimus,Oligodon_durheimi,,,,,*
Oligodon_jintakunei,,,,,,
Oligodon_nikhili,,,,,,
Oligodon_moricei,,,,,,
Oligodon_melanozonatus,,,,,,
Oligodon_propinquus,,,,,,
Oligodon_eberhardti,,,,,,
Oligodon_inornatus,,,,,,
Oligodon_petronellae,,,,,,
Oligodon_erythrorhachis,,,,,,
Oligodon_saintgironsi,,,,,,
Oligodon_praefrontalis,,,,,,
Dendrelaphis_oliveri,,,,,,
Dendrelaphis_salomonis,Dendrelaphis_calligaster,,,,,*
Dendrelaphis_lorentzi,,,,,,
Dendrelaphis_calligastra,Dendrelaphis_calligaster,,,,,Dendrelaphis_calligaster is current
Chrysopelea_rhodopleuron,,,,,,
Oreocalamus_hanitschi,,,,,,
Pseudorabdion_saravacense,,,,,,
Pseudorabdion_modiglianii,,,,,,
Pseudorabdion_sirambense,,,,,,
Calamorhabdium_kuekenthali,,,,,,
Calamorhabdium_acuticeps,,,,,,
Collorhabdium_williamsoni,,,,,,
Etheridgeum_pulchrum,,,,,,
Rhabdops_bicolor,,,,,,
Macrocalamus_vogeli,,,,,,
Macrocalamus_jasoni,,,,,,
Calamaria_sangi,,,,,,
Calamaria_margaritophora,Calamaria_margaritophorus,,,,,*
Calamaria_brongersmai,,,,,,
Calamaria_javanica,,,,,,
Calamaria_abramovi,,,,,,
Calamaria_doederleini,,,,,,
Calamaria_rebentischi,,,,,,
Calamaria_mecheli,,,,,,
Calamaria_concolor,,,,,,
Calamaria_palawanensis,,,,,,
Calamaria_battersbyi,,,,,,
Calamaria_pfefferi,,,,,,
Calamaria_crassa,,,,,,
Calamaria_buchi,,,,,,
Calamaria_thanhi,,,,,,
Calamaria_gracillima,,,,,,
Calamaria_eiselti,,,,,,
Calamaria_butonensis,,,,,,
Calamaria_lautensis,,,,,,
Calamaria_alidae,,,,,,
Calamaria_ulmeri,,,,,,
Calamaria_ingeri,,,,,,
Calamaria_longirostris,,,,,,
Calamaria_prakkei,,,,,,
Calamaria_forcarti,,,,,,
Calamaria_gialaiensis,,,,,,
Calamaria_boesemani,,,,,,
Synophis_plectovertebralis,,,,,,
Omoadiphas_cannula,,,,,,
Pliocercus_wilmarai,,,,,,
Coniophanes_joanae,,,,,,
Coniophanes_longinquus,,,,,,
Coniophanes_sarae,Coniophanes_lateritius,,,,,*
Rhadinaea_stadelmani,,,,,,
Rhadinophanes_monticola,,,,,,
Emmochliophis_miops,Synophis_miops,,,,,*
Atractus_multidentatus,,,,,,
Atractus_avernus,,,,,,
Atractus_edioi,,,,,,
Atractus_arangoi,,,,,,
Atractus_altagratiae,,,,,,
Atractus_ayeush,,,,,,
Atractus_savagei,,,,,,
Atractus_alytogrammus,,,,,,
Atractus_thalesdelemai,,,,,,
Atractus_boettgeri,,,,,,
Atractus_limitaneus,Leptocalamus_limitaneus,,,,,*
Atractus_taphorni,,,,,,
Atractus_paravertebralis,,,,,,
Atractus_spinalis,,,,,,
Atractus_mariselae,,,,,,
Atractus_vittatus,,,,,,
Atractus_macondo,,,,,,
Atractus_microrhynchus,Rhabdosoma_microrhynchum,,,,,
Atractus_nasutus,,,,,,
Atractus_alphonsehogei,,,,,,
Atractus_caete,,,,,,
Atractus_eriki,,,,,,
Atractus_medusa,,,,,,
Atractus_univittatus,,,,,,
Atractus_insipidus,,,,,,
Atractus_hoogmoedi,,,,,,
Atractus_emigdioi,,,,,,
Atractus_nigricaudus,,,,,,
Atractus_francoi,,,,,,
Atractus_tamaensis,,,,,,
Atractus_matthewi,,,,,,
Atractus_acheronius,,,,,,
Atractus_caxiuana,,,,,,
Atractus_micheleae,,,,,,
Atractus_apophis,,,,,,
Atractus_hostilitractus,,,,,,
Atractus_attenuates,,,,,,
Atractus_mijaresi,,,,,,
Atractus_vertebralis,,,,,,
Atractus_echidna,,,,,,
Atractus_surucucu,,,,,,
Atractus_taeniatus,Atractus_paraguayensis,,,,,*
Atractus_ochrosetrus,,,,,,
Atractus_balzani,,,,,,
Atractus_meridensis,,,,,,
Ninia_franciscoi,,,,,,
Sibon_linearis,,,,,,
Sibon_perissostichon,,,,,,
Dipsas_petersi,Dipsas_indica_petersi,,,,,Dipsas_indica_petersi is current
Sibynomorphus_ventrimaculatus,Dipsas_ventrimaculatus,Leptognathus_ventrimaculatus,,,,Dipsas_ventrimaculatus is current
Sibynomorphus_lavillai,Dipsas_lavillai,,,,,*
Sibynomorphus_neuwiedi,Dipsas_neuwiedi,Cochliophagus_mikanii_neuwiedi,,,,Dipsas_neuwiedi is current
Sibynomorphus_petersi,,,,,,
Sibynomorphus_vagus,Dipsas_vagus,Leptognathus_vagus,,,,Dipsas_vagus is current
Sibynomorphus_oligozonatus,Dipsas_oligozonata,,,,,Dipsas_oligozonata is current
Sibynomorphus_vagrans,,,,,,
Dipsas_neivai,,,,,,
Sibynomorphus_turgidus,Dipsas_turgidus,Leptognathus_turgida,,,,Dipsas_turgidus is current
Sibynomorphus_oneilli,,,,,,
Sibynomorphus_mikanii,Dipsas_mikanii,,,,,Dipsas_mikanii is current
Sibynomorphus_williamsi,Dipsas_williamsi,,,,,Dipsas_williams is current 
Dipsas_baliomelas,,,,,,
Tropidodipsas_annuliferus,Tropidodipsas_annulifera,,,,,
Geophis_isthmicus,,,,,,
Adelphicos_daryi,,,,,,
Adelphicos_ibarrorum,,,,,,
Hypsiglena_ochrorhyncha,Hypsiglena_ochrorhynchus,,,,,
Trimetopon_viquezi,,,,,,
Taeniophallus_nebularis,,,,,,
Phalotris_punctatus,Phalotris_tricolor,Elapomorphus_tricolor,,,,*
Phalotris_bilineatus,Elapomorphus_bilineatus,,,,,
Phalotris_concolor,,,,,,
Phalotris_nigrilatus,,,,,,
Apostolepis_striata,,,,,,
Apostolepis_quirogai,,,,,,
Apostolepis_niceforoi,,,,,,
Apostolepis_ammodites,,,,,,
Apostolepis_parassimilis,Apostolepis_assimillis,Apostolepis_parassimilis,Elapomorphus_parassimilis,,,*
Apostolepis_breviceps,,,,,,
Apostolepis_longicaudata,,,,,,
Apostolepis_gaboi,,,,,,
Elapomorphus_spegazzinii,,,,,,
Hydrodynastes_melanogigas,Hydrodynastes_gigas,Cyclagras_gigas,,,,*
Tachymenis_tarmensis,,,,,,
Tachymenis_elongata,Philodryas_elegans,,,,,*
Thamnodynastes_chimanta,Dryophylax_chimanta,,,,,Dryophylax_chimanta is current
Thamnodynastes_longicaudus,,,,,,
Thamnodynastes_almae,Dryophylax_almae,,,,,
Thamnodynastes_yavi,,,,,,
Thamnodynastes_corocoroensis,Dryophylax_corocoroensis,,,,,*
Thamnodynastes_duida,,,,,,
Thamnodynastes_marahuaquensis,Dryophylax_marahuaquensis,,,,,*
Tomodon_dorsatum,Tomodon_dorsatus,,,,,
Calamodontophis_ronaldoi,,,,,,
Eutrachelophis_steinbachi,Liophis_steinbachi,Erythrolamprus_steinbachi,Rhadinaea_steinbachi,,,*
Eutrachelophis_bassleri,,,,,,
Amnesteophis_melanauchen,Enicognathus_melanauchen,Liophis_melanauchen,,,,*
