Tree_Sp_Name	Eq_0	Eq_1	Eq_2	Eq_3	Eq_4
Euprepiophis_perlacea	Euprepiophis_perlaceus	Elaphe_perlacea
Sphenodon_punctatus	Hatteria_punctata
Gonyosoma_frenatus	Coluber_frenatus	Herpetrodryas_frenatus	Rhadinophis_frenata	Elaphe_frenata	Rhadinophis_frenatus
Gonyosoma_prasinus	Elaphe_prasina	Rhadinophis_prasinus	Coluber_prasinus	Rhadinophis_prasina
Gonyosoma_margaritatus	Gonyosoma_margaritatum	Gonyophis_margaritatus
Orthriophis_taeniurus	Elaphe_taeniura	Elaphe_taeniurus
